Республика_Адыгея   Майкоп
Республика_Башкортостан 	Уфа 
Республика_Бурятия 	Улан-Удэ 
Республика_Алтай 	Горно-Алтайск 
Республика_Дагестан 	Махачкала 	
Республика_Ингушетия 	Магас 	
Кабардино-Балкарская_Республика 	Нальчик 
Республика_Калмыкия 	Элиста 	
Республика_Карачаево-Черкесия 	Черкесск 
Республика_Карелия 	Петрозаводск 	
Республика_Коми 	Сыктывкар 	
Республика_Марий_Эл 	Йошкар-Ола 	
Республика_Мордовия 	Саранск 
Республика_Саха_(Якутия) 	Якутск 	
Республика_Северная_Осетия-Алания 	Владикавказ 
Республика_Татарстан 	Казань 	
Республика_Тыва 	Кызыл 	
Удмуртская_Республика 	Ижевск
Республика_Хакасия 	Абакан 	
Чеченская_республика 	Грозный
Чувашская_Республика 	Чебоксары 
Алтайский_край 	Барнаул 	
Краснодарский_край 	Краснодар 	
Красноярский_край 	Красноярск 	
Приморский_край 	Владивосток 	
Ставропольский_край 	Ставрополь 	
Хабаровский_край 	Хабаровск 	
Амурская_область 	Благовещенск 	
Архангельская_область 	Архангельск 
Астраханская_область 	Астрахань 	
Белгородская_область 	Белгород 	
Брянская_область 	Брянск 	
Владимирская_область 	Владимир 	
Волгоградская_область 	Волгоград 	
Вологодская_область 	Вологда 	
Воронежская_область 	Воронеж 	
Ивановская_область 	Иваново 
Иркутская_область 	Иркутск 
Калининградская_область 	Калининград 
Калужская_область 	Калуга 	
Камчатский_край 	Петропавловск-Камчатский 
Кемеровская_область 	Кемерово 
Кировская_область 	Киров 	
Костромская_область 	Кострома
Курганская_область 	Курган 	
Курская_область 	Курск 	
Ленинградская_область 	Санкт-Петербург 
Липецкая_область 	Липецк 
Магаданская_область 	Магадан 
Московская_область 	Москва 
Мурманская_область 	Мурманск 
Нижегородская_область 	Нижний Новгород 
Новгородская_область 	Великий Новгород 
Новосибирская_область 	Новосибирск 
Омская_область 	Омск 
Оренбургская_область    Оренбург 
Орловская_область 	Орел 
Пензенская_область 	Пенза 
Пермский_край 	Пермь 
Псковская_область 	Псков 	
Ростовская_область 	Ростов-на-Дону 
Рязанская_область 	Рязань 	
Самарская_область 	Самара 
Саратовская_область 	Саратов 
Сахалинская_область 	Южно-Сахалинск 
Свердловская_область 	Екатеринбург 
Смоленская_область 	Смоленск 
Тамбовская_область 	Тамбов 
Тверская_область 	Тверь 	
Томская_область 	Томск 	
Тульская_область 	Тула 	
Тюменская_область 	Тюмень 
Ульяновская_область 	Ульяновск 
Челябинская_область 	Челябинск 
Забайкальский_край 	Чита 
Ярославская_область 	Ярославль 
Москва_и_область 	Москва 
Санкт-Петербург_и_область	Санкт-Петербург 
Еврейская_автономная_область 	Биробиджан
Ненецкий_автономный_округ 	Нарьян-Мар 
Ханты-Мансийский_автономный_округ Ханты-Мансийск 
Чукотский_автономный_округ 	Анадырь 
Ямало-Ненецкий_автономный_округ 	Салехард 
Республика_Крым 	Симферополь 
Севастополь	Севастополь 
